ID,Occurred,At,A/C,Station,Flight No,ATA
12185,2021-01-02,18:59:00,Avión 1,PIQ,NT421,77-00
12194,2021-01-03,20:15:00,Avión 2,PDQ,NT312,33-49
12210,2021-01-04,14:13:00,Avión 3,PDQ,NT158,52-42
12200,2021-01-04,06:50:00,Avión 3,PIQ,414,25-65
12217,2021-01-05,07:33:00,Avión 4,PIQ,,33-00
12229,2021-01-06,07:32:00,Avión 5,PDQ,NT106,21-00
12274,2021-01-08,14:57:00,Avión 6,PDQ,,24-00
12276,2021-01-08,17:47:00,Avión 1,PDQ,NT311,27-50
12268,2021-01-08,08:27:00,Avión 7,PIQ,,34-57
12266,2021-01-08,08:04:00,Avión 5,PDQ,106,21-00
12290,2021-01-09,16:52:00,Avión 8,PDQ,NT224,31-60
12295,2021-01-10,06:54:00,Avión 9,PIQ,,30-31
12296,2021-01-10,07:12:00,Avión 5,,NT500,21-00
12321,2021-01-11,19:38:00,Avión 10,HOR,NT516,34-13
12339,2021-01-12,16:34:00,Avión 11,PDQ,220,80-00
12334,2021-01-12,11:40:00,Avión 12,,NT5601,UNK
12325,2021-01-12,07:20:00,Avión 9,FNC,NT933,24-31
12368,2021-01-14,14:22:00,Avión 13,PDQ,NT106,35-24
12377,2021-01-14,19:08:00,Avión 13,FNC,NT932,24-23
12374,2021-01-14,16:18:00,Avión 14,PDQ,NT673,12-37
12393,2021-01-15,19:10:00,Avión 5,PIQ,NT179,12-11
12423,2021-01-16,20:08:00,Avión 11,PDQ,234,25-65
12430,2021-01-17,18:42:00,Avión 4,TER,NT224,26-16
12420,2021-01-17,11:12:00,Avión 7,PIQ,NT195,72-00
12443,2021-01-18,08:39:00,Avión 11,PDQ,NT205,23-31
12450,2021-01-18,13:45:00,Avión 3,PDQ,NT304,23-51
12472,2021-01-18,18:15:00,Avión 3,,NT530,23-51
12473,2021-01-19,08:17:00,Avión 11,PDQ,NT236,24-47
12491,2021-01-20,06:30:00,Avión 9,PIQ,106,75-00
12499,2021-01-20,15:31:00,Avión 11,PIQ,NT135,05-51
