Fecha,EVENTO,A/C,ENCABEZADO EVENTO,Minutos
2022-07-22,32171,Avión 6,NOSE LANDING GEAR,1541
2022-08-16,33504,Avión 12,FLT CTRL NO DISPATCH ADS 3 HTR FAIL,1492
2022-09-07,34578,Avión 6,PTV IMPACTO DE PÁJARO EN ZAZ,1481
2023-07-23,50049,Avión 12,FUGA DE HYD EN FRENO N2,1263
2022-01-04,23928,Avión 15,ENGINE1 ITT RISES TO 946C,1167
2023-06-26,48582,Avión 32,MTTO BASE OGMA,1118
2023-05-24,46896,Avión 12,BIRDSTRIKE - ENVIRONMENTAL,1043
2022-01-05,23950,Avión 12,AILERON POWER CONTROL UNIT,902
2022-01-07,24018,Avión 6,CB REFUELING 1 OUT NO RESET REFUELING PANEL INOP,895
2019-09-01,4197,Avión 1,INCIDENTE TECNICO EN LPA,846
,87,,-,813
2023-06-02,47326,Avión 15,HSCU  DEFECTO MANTA TERMICA,810
2023-09-03,52381,Avión 7,LOW PITCH HÉLICE N2,799
2022-09-26,35443,Avión 7,ATOFF EN ACE POR ENGINE OVERLIMIT,753
2023-10-11,54453,Avión 12,ENGINE REPLACEMENT LH,732
2024-01-27,59742,Avión 34,PEC FAULT & LOW PITCH,691
2021-07-31,16989,Avión 24,IMPACTO RAYOS,679
2022-03-23,26936,Avión 6,FUGA COMBUSTIBLE PLANO DERECHO,661
2024-02-22,60967,Avión 44,IMPACTO RAYO,629
2024-03-15,62071,Avión 25,PEC FAULT,626
2021-10-22,20554,Avión 6,CAMBIO ENG2,612
2024-06-14,66875,Avión 46,GOLPE DE ESCALERA EN BORDE DE ATAQUE DEL PLANO,610
2022-07-26,32391,Avión 23,606651,610
2023-08-10,51050,Avión 15,ADSP 2 FAULT,600
2024-05-20,65380,Avión 15,LIMITACIÓN MOTOR P783070,599
2024-01-06,58677,Avión 24,RAMPA DE EMERGENCIA DELANTERA IZQ DESPLEGADA,583
2023-12-06,57192,Avión 32,FLIGHT CONTROL HORIZONTAL STABILIZER Y FLIGHT CONTROL NO DIS,581
2019-03-24,1185,Avión 8,CONTINUAN CON TRABAJOS PROGRAMADOS,560
2020-02-09,7139,Avión 6,00430D1,559
2022-08-14,33414,Avión 6,BLEED 1 LEAK,538
2023-11-24,56637,Avión 12,INOP D-AZFA,535
2022-09-07,34576,Avión 24,TRABAJOS PROGRAMADOS,532
2020-02-28,7449,Avión 25,428211,531
2022-08-12,33331,Avión 36,MOD SEL NOMR FAULT IN FLIGHT,524
2023-10-12,54476,Avión 15,FUGA DE HYD EN PISTON DEL FRENO N2,507
2022-09-15,34920,Avión 23,PTV HYD BLUE LOW LEVEL AFTER START UP AT THE STAND,502
2024-05-07,64664,Avión 44,FLT CONTROL HORIZONTAL STAB CMC PRINTER FAIL,500
,17924,,-,495
2023-06-26,48607,Avión 6,HANDSET. EMERGENCY PARKING BRAKE,494
2019-09-07,4313,Avión 31,ADU FAULT,490
2020-01-30,6938,Avión 14,00928121    LIMITACION ACC MEL 36.11.02,485
2022-09-08,34631,Avión 6,ENG 1 CHIP DETECTED,470
2022-07-26,32354,Avión 1,1110391,455
2020-02-21,7330,Avión 4,933401,439
2019-06-16,2587,Avión 4,AC SOLICITA MTTO,435
2023-11-22,56760,Avión 12,INOP D-AZFA,429
2021-07-18,16435,Avión 15,HYD LEAK ON ENG 1,427
2023-02-23,42377,Avión 6,WP 1DFLAP FAIRING,425
2023-04-23,45285,Avión 16,DURANTE LC SE ENCUENTRA DAÑO EN UNA PALA FUERA DE LÍMITES,424
2019-04-21,1633,Avión 13,RETORNO A PARKING,424
2024-01-07,58753,Avión 6,FALTA DE O2,419
2019-05-05,1884,Avión 25,CREW SOLICITA MTTO A SU SALIDA A LAS 1139Z,411
2024-01-13,59032,Avión 20,HBV MOTOR 2,410
2019-08-31,4188,Avión 23,AC INOPERATIVO,409
,8900,,-,407
2023-10-15,54650,Avión 32,1210DFAN BLADES,398
2023-10-04,54021,Avión 6,AFTER CARGO INOP  ENG RPL,395
2023-07-25,50148,Avión 37,PITOT CM1 Y CM2 INOP,390
2023-04-01,44182,Avión 23,655551,389
,22739,,-,388
2020-02-18,7274,Avión 31,417601,385
2021-08-19,17726,Avión 12,ENGINE 1 CONTROL FAULT,384
2021-09-02,18250,Avión 12,DISPLAY UNIT 1 US.,382
,5095,,-,382
2019-08-19,3937,Avión 23,CREW AVISA A LAS 1139Z,381
2022-09-16,34961,Avión 14,ENG 1 BLEED FAULT.,381
2020-08-30,9888,Avión 23,PILOT REPORT - OPERATIONAL,381
2019-08-18,3906,Avión 23,AVERIA  FUGA HYD LIMITADO 29-11-1,378
2022-09-23,35310,Avión 36,NOISE AFTER START UP,378
2024-03-09,61783,Avión 3,PÉRDIDA POR EL DRENAJE DE COMBUSTIBLE,376
2024-05-26,65706,Avión 21,CONSULTA AUTODESPACHO ASIENTO TCP,373
2022-10-28,37019,Avión 24,PROBLEMAS PARA CERRAR LA BODEGA TRASERA,371
2022-09-03,34326,Avión 6,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,369
2023-06-28,48717,Avión 35,PROBLEMAS CON DU 1,361
2020-01-30,6944,Avión 16,396441   INOFNC,360
2024-02-08,60348,Avión 6,INOP D-AZFA,359
2023-06-09,47680,Avión 24,FLIGHT CONTROL NO DISPATCH HSCU,355
2021-07-04,15882,Avión 12,PILOT REPORT - ENG1 FUEL LO PRESS CAUTION MSG,353
2022-05-19,29298,Avión 28,PROBLEMA PUERTA CARGO RAK,350
2023-10-09,54277,Avión 15,ENGINE REPLACEMENT LH,343
2023-12-15,57633,Avión 38,PROBLEMAS DE COMUNICACIÓN CON CM2,343
2019-07-29,3483,Avión 22,LAVADOS MVI LIMITADO CON AMPLIACION A 325 2807,341
2022-12-15,39302,Avión 25,AIRPLANE DOESNT POWER BACK,340
2020-12-04,11761,Avión 20,446061,340
2022-09-08,34639,Avión 15,07856D1,339
2019-07-26,3408,Avión 13,INCIDENTE TECNICO,335
2023-01-09,40406,Avión 32,WP CHECK STATUS BRAKES ON WHEEL 1 & 2,334
2022-07-16,31896,Avión 6,FUEL LEAK IN RH FUEL LOW PRESS SWITCH IS FOUND.,331
2022-12-23,39706,Avión 13,TCAS MODO S FAULT INDICATION ALT,331
2021-07-19,16485,Avión 23,ALTA TEMPERATURA,327
2023-03-26,43859,Avión 4,AILERON LOCK LIT,325
,3476,,-,323
2023-10-28,55300,Avión 17,PROBLEMA CON INTERFONO,321
2023-03-17,43395,Avión 22,ENG 1 OIL HIGHT TEMPERATURE,320
2022-04-09,27672,Avión 14,CONF UPDATED WARNING ON ALERT WINDOW FOLLOWED BY FWS,319
2023-12-07,57439,Avión 32,INOP D - AZFA,319
2020-03-06,7547,Avión 2,912431,318
2020-02-17,7258,Avión 12,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,316
,1766,,-,316
2023-08-10,51089,Avión 15,NECESIDAD DE COLOCACION DE PR,313
2022-08-07,32986,Avión 10,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,312
2022-12-02,38655,Avión 24,WEATHER RADAR FAIL,311
2021-09-17,18795,Avión 6,RADIOALTIMETER TROUBLESHOOTING - RECIEVER ANTENNAS SWAP,310
2019-09-13,4410,Avión 4,INCIDENTE TECNICO RETORNA AL PARKING,308
2019-09-20,4524,Avión 22,CREW AVISA A LAS 1114Z,307
2018-10-25,203,Avión 16,PILOT REPORT - OPERATIONAL,305
2023-11-05,55659,Avión 11,COMPUERTA TREN DE MORRO ABIERTA,304
2023-04-10,44664,Avión 6,WPCAMBIO DE MOTOR,304
2021-04-20,14016,Avión 12,SCREW STUCK ON NOSE WHEEL,302
2023-09-29,53768,Avión 24,ENGINE REPLACEMENT,301
2019-02-22,758,Avión 4,AVION INOP EN LPA  AVERIA FALLO GENERADOR,300
2022-12-04,38728,Avión 10,ACW GEN 1 FAULT,296
2021-05-19,14611,Avión 24,01847-01,295
2019-03-12,1004,Avión 23,LFA - CONTINUA INOLP POR TRABAJOS PROGRAMADOS,295
,9705,,-,295
,270,,-,293
2022-05-30,29758,Avión 34,RUDDER MISTRIM RUDDER TRIM US,291
2023-09-22,53417,Avión 12,ENGINE REPLACEMENT,290
