ID,Occurred,At,Issuer,A/C,Station,Headline,Flight No,ATA,Advise
12185,2021-01-02,0 days 18:59:00,5121,Avión 1,PIQ,98254/1,NT421,77-00,A/C Ready
12194,2021-01-03,0 days 20:15:00,5121,Avión 2,PDQ,0097630/1,NT312,33-49,A/C Ready
12210,2021-01-04,0 days 14:13:00,5452,Avión 3,PDQ,0096673/1,NT158,52-42,A/C Ready
12200,2021-01-04,0 days 06:50:00,5452,Avión 3,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,414,25-65,A/C Ready
12217,2021-01-05,0 days 07:33:00,5452,Avión 4,PIQ,OTHERS / NOT SPECIFIED - OPERATIONAL,,33-00,A/C Ready
12229,2021-01-06,0 days 07:32:00,5452,Avión 5,PDQ,46331/1,NT106,21-00,A/C Ready
12274,2021-01-08,0 days 14:57:00,3444,Avión 6,PDQ,02377/1,,24-00,A/C Ready
12276,2021-01-08,0 days 17:47:00,5479,Avión 1,PDQ,98263/D1,NT311,27-50,A/C Ready
12268,2021-01-08,0 days 08:27:00,3444,Avión 7,PIQ,T/S Y TRABAJOS PROGRAMADOS,,34-57,A/C Ready
12266,2021-01-08,0 days 08:04:00,3444,Avión 5,PDQ,CREW AVISA LAS 07:50,106,21-00,A/C Ready
12290,2021-01-09,0 days 16:52:00,5479,Avión 8,PDQ,98134/D1,NT224,31-60,A/C Ready
12295,2021-01-10,0 days 06:54:00,5452,Avión 9,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,,30-31,A/C Ready
12296,2021-01-10,0 days 07:12:00,5452,Avión 5,,46341/1,NT500,21-00,A/C Ready
12321,2021-01-11,0 days 19:38:00,5121,Avión 10,HOR,0098168/1,NT516,34-13,A/C Ready
12339,2021-01-12,0 days 16:34:00,5452,Avión 11,PDQ,NO MAINTENANCE ACTION - OPERATIONAL,220,80-00,A/C Ready
12334,2021-01-12,0 days 11:40:00,3444,Avión 12,,NO INFO,NT5601,UNK,A/C Ready
12325,2021-01-12,0 days 07:20:00,3444,Avión 9,FNC,EMER BAT LOW CHARGE,NT933,24-31,
12368,2021-01-14,0 days 14:22:00,5121,Avión 13,PDQ,DEFECT DETAILS  (TLB46436 D1),NT106,35-24,
12377,2021-01-14,0 days 19:08:00,5480,Avión 13,FNC,46438/1,NT932,24-23,A/C Ready
12374,2021-01-14,0 days 16:18:00,5480,Avión 14,PDQ,96205/1,NT673,12-37,A/C Ready
12393,2021-01-15,0 days 19:10:00,5480,Avión 5,PIQ,46350/1,NT179,12-11,A/C Ready
12423,2021-01-16,0 days 20:08:00,5452,Avión 11,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,234,25-65,A/C Ready
12430,2021-01-17,0 days 18:42:00,5121,Avión 4,TER,96635/1,NT224,26-16,A/C Ready
12420,2021-01-17,0 days 11:12:00,5452,Avión 7,PIQ,96163/1,NT195,72-00,A/C Ready
12443,2021-01-18,0 days 08:39:00,5452,Avión 11,PDQ,98341/D1,NT205,23-31,A/C Ready
12450,2021-01-18,0 days 13:45:00,5452,Avión 3,PDQ,0098025/1,NT304,23-51,A/C Ready
12472,2021-01-18,0 days 18:15:00,2291,Avión 3,,CREW QUERY - OPERATIONAL,NT530,23-51,A/C Ready
12473,2021-01-19,0 days 08:17:00,3459,Avión 11,PDQ,98343/D1,NT236,24-47,A/C Ready
12491,2021-01-20,0 days 06:30:00,3459,Avión 9,PIQ,CREW QUERY - OPERATIONAL,106,75-00,
12499,2021-01-20,0 days 15:31:00,5545,Avión 11,PIQ,98356/1,NT135,05-51,
12492,2021-01-20,0 days 09:53:00,5480,Avión 6,VGO,AHEAD PRO FAULT,NT5230,27-50-00,A/C Ready
12513,2021-01-21,0 days 12:19:00,3459,Avión 15,,CREW QUERY - OPERATIONAL,,24-51,A/C Ready
