Fecha,EVENTO,A/C,ENCABEZADO EVENTO,Minutos
2022-07-22 00:00:00,32171.0,Avión 6,NOSE LANDING GEAR,1541
2022-08-16 00:00:00,33504.0,Avión 12,FLT CTRL NO DISPATCH ADS 3 HTR FAIL,1492
2022-09-07 00:00:00,34578.0,Avión 6,PTV IMPACTO DE PÁJARO EN ZAZ,1481
2023-07-23 00:00:00,50049.0,Avión 12,FUGA DE HYD EN FRENO N2,1263
2022-01-04 00:00:00,23928.0,Avión 15,ENGINE1 ITT RISES TO 946C,1167
2023-06-26 00:00:00,48582.0,Avión 32,MTTO BASE OGMA,1118
2023-05-24 00:00:00,46896.0,Avión 12,BIRDSTRIKE - ENVIRONMENTAL,1043
2022-01-05 00:00:00,23950.0,Avión 12,AILERON POWER CONTROL UNIT,902
2022-01-07 00:00:00,24018.0,Avión 6,CB REFUELING 1 OUT NO RESET REFUELING PANEL INOP,895
2019-09-01 00:00:00,4197.0,Avión 1,INCIDENTE TECNICO EN LPA,846
-,87.0,,-,813
2023-06-02 00:00:00,47326.0,Avión 15,HSCU  DEFECTO MANTA TERMICA,810
2023-09-03 00:00:00,52381.0,Avión 7,LOW PITCH HÉLICE N2,799
2022-09-26 00:00:00,35443.0,Avión 7,ATOFF EN ACE POR ENGINE OVERLIMIT,753
2023-10-11 00:00:00,54453.0,Avión 12,ENGINE REPLACEMENT LH,732
2024-01-27 00:00:00,59742.0,Avión 34,PEC FAULT & LOW PITCH,691
2021-07-31 00:00:00,16989.0,Avión 24,IMPACTO RAYOS,679
2022-03-23 00:00:00,26936.0,Avión 6,FUGA COMBUSTIBLE PLANO DERECHO,661
2024-02-22 00:00:00,60967.0,Avión 44,IMPACTO RAYO,629
2024-03-15 00:00:00,62071.0,Avión 25,PEC FAULT,626
2021-10-22 00:00:00,20554.0,Avión 6,CAMBIO ENG2,612
2024-06-14 00:00:00,66875.0,Avión 46,GOLPE DE ESCALERA EN BORDE DE ATAQUE DEL PLANO,610
2022-07-26 00:00:00,32391.0,Avión 23,606651,610
2023-08-10 00:00:00,51050.0,Avión 15,ADSP 2 FAULT,600
2024-05-20 00:00:00,65380.0,Avión 15,LIMITACIÓN MOTOR P783070,599
2024-01-06 00:00:00,58677.0,Avión 24,RAMPA DE EMERGENCIA DELANTERA IZQ DESPLEGADA,583
2023-12-06 00:00:00,57192.0,Avión 32,FLIGHT CONTROL HORIZONTAL STABILIZER Y FLIGHT CONTROL NO DIS,581
2019-03-24 00:00:00,1185.0,Avión 8,CONTINUAN CON TRABAJOS PROGRAMADOS,560
2020-02-09 00:00:00,7139.0,Avión 6,00430D1,559
2022-08-14 00:00:00,33414.0,Avión 6,BLEED 1 LEAK,538
2023-11-24 00:00:00,56637.0,Avión 12,INOP D-AZFA,535
2022-09-07 00:00:00,34576.0,Avión 24,TRABAJOS PROGRAMADOS,532
2020-02-28 00:00:00,7449.0,Avión 25,428211,531
2022-08-12 00:00:00,33331.0,Avión 36,MOD SEL NOMR FAULT IN FLIGHT,524
2023-10-12 00:00:00,54476.0,Avión 15,FUGA DE HYD EN PISTON DEL FRENO N2,507
2022-09-15 00:00:00,34920.0,Avión 23,PTV HYD BLUE LOW LEVEL AFTER START UP AT THE STAND,502
2024-05-07 00:00:00,64664.0,Avión 44,FLT CONTROL HORIZONTAL STAB CMC PRINTER FAIL,500
-,17924.0,,-,495
2023-06-26 00:00:00,48607.0,Avión 6,HANDSET. EMERGENCY PARKING BRAKE,494
2019-09-07 00:00:00,4313.0,Avión 31,ADU FAULT,490
2020-01-30 00:00:00,6938.0,Avión 14,00928121    LIMITACION ACC MEL 36.11.02,485
2022-09-08 00:00:00,34631.0,Avión 6,ENG 1 CHIP DETECTED,470
2022-07-26 00:00:00,32354.0,Avión 1,1110391,455
2020-02-21 00:00:00,7330.0,Avión 4,933401,439
2019-06-16 00:00:00,2587.0,Avión 4,AC SOLICITA MTTO,435
2023-11-22 00:00:00,56760.0,Avión 12,INOP D-AZFA,429
2021-07-18 00:00:00,16435.0,Avión 15,HYD LEAK ON ENG 1,427
2023-02-23 00:00:00,42377.0,Avión 6,WP 1DFLAP FAIRING,425
2023-04-23 00:00:00,45285.0,Avión 16,DURANTE LC SE ENCUENTRA DAÑO EN UNA PALA FUERA DE LÍMITES,424
2019-04-21 00:00:00,1633.0,Avión 13,RETORNO A PARKING,424
2024-01-07 00:00:00,58753.0,Avión 6,FALTA DE O2,419
2019-05-05 00:00:00,1884.0,Avión 25,CREW SOLICITA MTTO A SU SALIDA A LAS 1139Z,411
2024-01-13 00:00:00,59032.0,Avión 20,HBV MOTOR 2,410
2019-08-31 00:00:00,4188.0,Avión 23,AC INOPERATIVO,409
-,8900.0,,-,407
2023-10-15 00:00:00,54650.0,Avión 32,1210DFAN BLADES,398
2023-10-04 00:00:00,54021.0,Avión 6,AFTER CARGO INOP  ENG RPL,395
2023-07-25 00:00:00,50148.0,Avión 37,PITOT CM1 Y CM2 INOP,390
2023-04-01 00:00:00,44182.0,Avión 23,655551,389
-,22739.0,,-,388
2020-02-18 00:00:00,7274.0,Avión 31,417601,385
2021-08-19 00:00:00,17726.0,Avión 12,ENGINE 1 CONTROL FAULT,384
2021-09-02 00:00:00,18250.0,Avión 12,DISPLAY UNIT 1 US.,382
-,5095.0,,-,382
2019-08-19 00:00:00,3937.0,Avión 23,CREW AVISA A LAS 1139Z,381
2022-09-16 00:00:00,34961.0,Avión 14,ENG 1 BLEED FAULT.,381
2020-08-30 00:00:00,9888.0,Avión 23,PILOT REPORT - OPERATIONAL,381
2019-08-18 00:00:00,3906.0,Avión 23,AVERIA  FUGA HYD LIMITADO 29-11-1,378
2022-09-23 00:00:00,35310.0,Avión 36,NOISE AFTER START UP,378
2024-03-09 00:00:00,61783.0,Avión 3,PÉRDIDA POR EL DRENAJE DE COMBUSTIBLE,376
2024-05-26 00:00:00,65706.0,Avión 21,CONSULTA AUTODESPACHO ASIENTO TCP,373
2022-10-28 00:00:00,37019.0,Avión 24,PROBLEMAS PARA CERRAR LA BODEGA TRASERA,371
2022-09-03 00:00:00,34326.0,Avión 6,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,369
2023-06-28 00:00:00,48717.0,Avión 35,PROBLEMAS CON DU 1,361
2020-01-30 00:00:00,6944.0,Avión 16,396441   INOFNC,360
2024-02-08 00:00:00,60348.0,Avión 6,INOP D-AZFA,359
2023-06-09 00:00:00,47680.0,Avión 24,FLIGHT CONTROL NO DISPATCH HSCU,355
2021-07-04 00:00:00,15882.0,Avión 12,PILOT REPORT - ENG1 FUEL LO PRESS CAUTION MSG,353
2022-05-19 00:00:00,29298.0,Avión 28,PROBLEMA PUERTA CARGO RAK,350
2023-10-09 00:00:00,54277.0,Avión 15,ENGINE REPLACEMENT LH,343
2023-12-15 00:00:00,57633.0,Avión 38,PROBLEMAS DE COMUNICACIÓN CON CM2,343
2019-07-29 00:00:00,3483.0,Avión 22,LAVADOS MVI LIMITADO CON AMPLIACION A 325 2807,341
2022-12-15 00:00:00,39302.0,Avión 25,AIRPLANE DOESNT POWER BACK,340
2020-12-04 00:00:00,11761.0,Avión 20,446061,340
2022-09-08 00:00:00,34639.0,Avión 15,07856D1,339
2019-07-26 00:00:00,3408.0,Avión 13,INCIDENTE TECNICO,335
2023-01-09 00:00:00,40406.0,Avión 32,WP CHECK STATUS BRAKES ON WHEEL 1 & 2,334
2022-07-16 00:00:00,31896.0,Avión 6,FUEL LEAK IN RH FUEL LOW PRESS SWITCH IS FOUND.,331
2022-12-23 00:00:00,39706.0,Avión 13,TCAS MODO S FAULT INDICATION ALT,331
2021-07-19 00:00:00,16485.0,Avión 23,ALTA TEMPERATURA,327
2023-03-26 00:00:00,43859.0,Avión 4,AILERON LOCK LIT,325
-,3476.0,,-,323
2023-10-28 00:00:00,55300.0,Avión 17,PROBLEMA CON INTERFONO,321
2023-03-17 00:00:00,43395.0,Avión 22,ENG 1 OIL HIGHT TEMPERATURE,320
2022-04-09 00:00:00,27672.0,Avión 14,CONF UPDATED WARNING ON ALERT WINDOW FOLLOWED BY FWS,319
2023-12-07 00:00:00,57439.0,Avión 32,INOP D - AZFA,319
2020-03-06 00:00:00,7547.0,Avión 2,912431,318
2020-02-17 00:00:00,7258.0,Avión 12,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,316
-,1766.0,,-,316
2023-08-10 00:00:00,51089.0,Avión 15,NECESIDAD DE COLOCACION DE PR,313
2022-08-07 00:00:00,32986.0,Avión 10,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,312
2022-12-02 00:00:00,38655.0,Avión 24,WEATHER RADAR FAIL,311
2021-09-17 00:00:00,18795.0,Avión 6,RADIOALTIMETER TROUBLESHOOTING - RECIEVER ANTENNAS SWAP,310
2019-09-13 00:00:00,4410.0,Avión 4,INCIDENTE TECNICO RETORNA AL PARKING,308
2019-09-20 00:00:00,4524.0,Avión 22,CREW AVISA A LAS 1114Z,307
2018-10-25 00:00:00,203.0,Avión 16,PILOT REPORT - OPERATIONAL,305
2023-11-05 00:00:00,55659.0,Avión 11,COMPUERTA TREN DE MORRO ABIERTA,304
2023-04-10 00:00:00,44664.0,Avión 6,WPCAMBIO DE MOTOR,304
2021-04-20 00:00:00,14016.0,Avión 12,SCREW STUCK ON NOSE WHEEL,302
2023-09-29 00:00:00,53768.0,Avión 24,ENGINE REPLACEMENT,301
2019-02-22 00:00:00,758.0,Avión 4,AVION INOP EN LPA  AVERIA FALLO GENERADOR,300
2022-12-04 00:00:00,38728.0,Avión 10,ACW GEN 1 FAULT,296
2021-05-19 00:00:00,14611.0,Avión 24,01847-01,295
2019-03-12 00:00:00,1004.0,Avión 23,LFA - CONTINUA INOLP POR TRABAJOS PROGRAMADOS,295
-,9705.0,,-,295
-,270.0,,-,293
2022-05-30 00:00:00,29758.0,Avión 34,RUDDER MISTRIM RUDDER TRIM US,291
2023-09-22 00:00:00,53417.0,Avión 12,ENGINE REPLACEMENT,290
2023-06-11 00:00:00,47773.0,Avión 3,FUGA DE HIDRÁULICO,290
2020-02-02 00:00:00,7030.0,Avión 4,928551,290
2021-01-17 00:00:00,12430.0,Avión 4,966351,288
-,32388.0,,-,288
2024-05-29 00:00:00,65863.0,Avión 19,FUGA DE COMBUSTIBLE,286
2022-10-12 00:00:00,36257.0,Avión 12,AFTER ENG 1 START EICAS MESSAGE FUEL FEED 1 FAULT,285
2024-03-02 00:00:00,61446.0,Avión 24,LIGHTNING STRIKE,285
2023-03-25 00:00:00,43803.0,Avión 12,NO MAINTENANCE ACTION - OPERATIONAL,282
2021-10-18 00:00:00,20270.0,Avión 4,REQUERIMIENTO DE PRUEBA DE POTENCIA EN CABECERA,281
2022-10-23 00:00:00,36779.0,Avión 14,ATPS. TEST ENG 2 FAIL,280
2023-01-28 00:00:00,41240.0,Avión 24,FUEL 1 LOW PRESS,280
2020-03-05 00:00:00,7514.0,Avión 20,420271,278
2024-01-16 00:00:00,59159.0,Avión 28,DAÑOS DEBIDO A CAUSAS METEOROLÓGICAS,276
2022-03-09 00:00:00,26322.0,Avión 2,CABIN TEMP SEL. DOESNT WORK.,275
2023-04-19 00:00:00,45077.0,Avión 24,FUGA DE ACEITE INTERCAMBIADOR MOTOR 2,275
2023-03-07 00:00:00,42889.0,Avión 1,HYD LEAK,274
2021-08-22 00:00:00,17847.0,Avión 31,LO LVL BLUE HYD SYSTEM,274
2024-04-13 00:00:00,63489.0,Avión 11,INDICADOR ITT FLUCTUA CONTINUAMENTE ENTRE 3 Y 4,272
2020-08-26 00:00:00,9792.0,Avión 2,941911,269
2023-06-26 00:00:00,48563.0,Avión 35,SOBRETEMPERATURA EN CARRERA DE DESPEGUE VUELVE A PARKING,268
2023-11-12 00:00:00,56045.0,Avión 32,ENG. RPL,266
2022-10-10 00:00:00,36172.0,Avión 8,FUEL CLOG IN FLIGHT - ENG 2,264
