ID,Occurred,At,AC,Station,Headline,FlightNo,ATA,Minutos
12185,2021-01-02,18:59:00,Avión 1,PIQ,98254/1,NT421,77-00,38.0
12194,2021-01-03,20:15:00,Avión 2,PDQ,0097630/1,NT312,33-49,15.0
12200,2021-01-04,06:50:00,Avión 3,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,414,25-65,3.0
12210,2021-01-04,14:13:00,Avión 3,PDQ,0096673/1,NT158,52-42,12.0
12217,2021-01-05,07:33:00,Avión 4,PIQ,OTHERS / NOT SPECIFIED - OPERATIONAL,nan,33-00,8.0
12229,2021-01-06,07:32:00,Avión 5,PDQ,46331/1,NT106,21-00,39.0
12266,2021-01-08,08:04:00,Avión 5,PDQ,CREW AVISA LAS 07:50,106,21-00,16.0
12268,2021-01-08,08:27:00,Avión 7,PIQ,T/S Y TRABAJOS PROGRAMADOS,nan,34-57,30.0
12274,2021-01-08,14:57:00,Avión 6,PDQ,02377/1,nan,24-00,64.0
12276,2021-01-08,17:47:00,Avión 1,PDQ,98263/D1,NT311,27-50,50.0
12290,2021-01-09,16:52:00,Avión 8,PDQ,98134/D1,NT224,31-60,9.0
12295,2021-01-10,06:54:00,Avión 9,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,nan,30-31,11.0
12296,2021-01-10,07:12:00,Avión 5,nan,46341/1,NT500,21-00,63.0
12321,2021-01-11,19:38:00,Avión 10,HOR,0098168/1,NT516,34-13,64.0
12325,2021-01-12,07:20:00,Avión 9,FNC,EMER BAT LOW CHARGE,NT933,24-31,13.0
12334,2021-01-12,11:40:00,Avión 12,nan,NO INFO,NT5601,UNK,9.0
12339,2021-01-12,16:34:00,Avión 11,PDQ,NO MAINTENANCE ACTION - OPERATIONAL,220,80-00,7.0
12368,2021-01-14,14:22:00,Avión 13,PDQ,DEFECT DETAILS  (TLB46436 D1),NT106,35-24,12.0
12374,2021-01-14,16:18:00,Avión 14,PDQ,96205/1,NT673,12-37,5.0
12377,2021-01-14,19:08:00,Avión 13,FNC,46438/1,NT932,24-23,135.0
12393,2021-01-15,19:10:00,Avión 5,PIQ,46350/1,NT179,12-11,1.0
12420,2021-01-17,11:12:00,Avión 7,PIQ,96163/1,NT195,72-00,5.0
12423,2021-01-16,20:08:00,Avión 11,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,234,25-65,8.0
12430,2021-01-17,18:42:00,Avión 4,TER,96635/1,NT224,26-16,288.0
12443,2021-01-18,08:39:00,Avión 11,PDQ,98341/D1,NT205,23-31,71.0
12450,2021-01-18,13:45:00,Avión 3,PDQ,0098025/1,NT304,23-51,15.0
12472,2021-01-18,18:15:00,Avión 3,nan,CREW QUERY - OPERATIONAL,NT530,23-51,7.0
12473,2021-01-19,08:17:00,Avión 11,PDQ,98343/D1,NT236,24-47,43.0
12491,2021-01-20,06:30:00,Avión 9,PIQ,CREW QUERY - OPERATIONAL,106,75-00,5.0
12492,2021-01-20,09:53:00,Avión 6,VGO,AHEAD PRO FAULT,NT5230,27-50-00,32.0
12499,2021-01-20,15:31:00,Avión 11,PIQ,98356/1,NT135,05-51,12.0
12513,2021-01-21,12:19:00,Avión 15,nan,CREW QUERY - OPERATIONAL,nan,24-51,63.0
12533,2021-01-22,13:42:00,Avión 7,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,420,25-65,3.0
12536,2021-01-22,16:31:00,Avión 16,PIQ,PILOT REPORT - OPERATIONAL,nan,77-00,9.0
12549,2021-01-23,14:08:00,Avión 17,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,nan,52-31,9.0
12559,2021-01-24,11:36:00,Avión 17,SMA,CREW QUERY - OPERATIONAL,617,52-31,8.0
12560,2021-01-24,07:55:00,Avión 18,nan,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT655,25-65,13.0
12571,2021-01-23,17:00:00,Avión 5,nan,NO INFO,NT623,UNK,3.0
12573,2021-01-25,10:38:00,Avión 6,PMI,03151/1,NT5100,27-50,172.0
12596,2021-01-26,07:00:00,Avión 14,nan,NO MAINTENANCE ACTION - OPERATIONAL,NT200,24-00,5.0
12602,2021-01-26,16:10:00,Avión 19,PIQ,PORTAMANTAS,nan,UNK,3.0
12608,2021-01-27,07:45:00,Avión 4,PDQ,NO INFO,205,UNK,3.0
12636,2021-01-29,06:39:00,Avión 16,PIQ,45925/1,NT606,33-51,20.0
12639,2021-01-29,09:48:00,Avión 7,PIQ,OTHERS / NOT SPECIFIED - OPERATIONAL,659,00-00,4.0
12695,2021-02-02,07:03:00,Avión 6,PDQ,503163/1,nan,27-00,67.0
12738,2021-02-03,07:10:00,Avión 20,nan,LATE RELEASE FROM SCH MAINT - TECHNICAL,NT414,05-20,20.0
12746,2021-02-04,17:04:00,Avión 11,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,nan,24-42,18.0
12780,2021-02-07,11:45:00,Avión 13,nan,46088/1,NT501,77-13,70.0
12782,2021-02-07,06:37:00,Avión 21,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT153,25-65,12.0
12794,2021-02-08,07:56:00,Avión 22,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,nan,25-64,5.0
12795,2021-02-08,07:47:00,Avión 4,PDQ,0098627/1,NT192,35-31,12.0
12809,2021-02-08,18:52:00,Avión 21,PDQ,46114/1,NT366,00-00,30.0
12813,2021-02-08,19:44:00,Avión 8,PIQ,98558/1,484,05-51,51.0
12844,2021-02-09,17:36:00,Avión 16,SMA,OLOR HUMO,NT636,26-15,5.0
12849,2021-02-10,09:45:00,Avión 10,SMA,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,nan,25-81,56.0
12854,2021-02-10,17:00:00,Avión 23,nan,CREW QUERY - OPERATIONAL,NT170,72-00,3.0
12857,2021-02-11,08:01:00,Avión 13,PDQ,46099/D1,504,57-42,16.0
12860,2021-02-11,08:25:00,Avión 16,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,504,25-65,1.0
12868,2021-02-11,13:52:00,Avión 23,nan,46155/1,NT606,34-58,19.0
12912,2021-02-15,07:40:00,Avión 14,PDQ,97704/1,NT192,12-12,9.0
12934,2021-02-16,16:17:00,Avión 10,nan,LIMITATION 0098671/1,NT471,31-60,13.0
